TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
01.11.2023 22:37:19;NaN;106,63;61,24;118,63;26,98
01.11.2023 22:52:19;NaN;84,41;54,66;100,01;19,95
01.11.2023 23:07:19;NaN;85,10;51,22;98,65;25,87
01.11.2023 23:22:19;NaN;88,67;51,27;96,55;20,54
01.11.2023 23:37:19;NaN;73,89;48,37;85,47;16,86
01.11.2023 23:52:19;NaN;94,61;53,71;103,39;31,31
02.11.2023 00:07:19;NaN;98,33;53,86;101,12;15,03
02.11.2023 00:22:19;NaN;91,00;54,87;108,04;20,68
02.11.2023 00:37:19;NaN;88,05;52,64;102,68;30,55
02.11.2023 00:52:19;NaN;101,85;51,56;101,04;21,65
02.11.2023 01:07:19;NaN;79,69;51,35;100,80;22,74
02.11.2023 01:22:19;NaN;84,30;51,97;109,80;50,83
02.11.2023 01:37:19;NaN;35,33;42,18;70,61;17,77
02.11.2023 01:52:19;NaN;36,26;43,06;75,82;20,41
02.11.2023 02:07:19;NaN;89,96;49,91;92,98;30,75
02.11.2023 02:22:19;NaN;9,95;29,83;45,43;14,88
02.11.2023 02:37:19;NaN;52,12;46,41;83,09;11,46
02.11.2023 02:52:19;NaN;26,20;37,80;62,43;13,21
02.11.2023 03:07:19;NaN;37,92;39,15;65,62;13,23
02.11.2023 03:22:19;NaN;27,33;39,54;67,51;14,89
02.11.2023 03:37:19;NaN;33,35;40,92;71,21;27,20
02.11.2023 03:52:19;NaN;93,82;47,72;104,65;32,06
02.11.2023 04:07:19;NaN;72,41;46,80;91,49;28,58
02.11.2023 04:22:19;NaN;77,50;53,73;108,99;16,72
02.11.2023 04:37:19;NaN;78,72;49,34;94,90;20,33
02.11.2023 04:52:19;NaN;74,95;48,72;91,04;17,85
02.11.2023 05:07:19;NaN;91,05;53,78;100,89;14,81
02.11.2023 05:22:19;NaN;108,15;53,25;104,74;29,24
02.11.2023 05:37:19;NaN;94,50;50,76;95,09;31,39
02.11.2023 05:52:19;NaN;72,06;45,04;81,05;32,59
02.11.2023 06:07:19;NaN;79,08;46,80;86,60;28,60
02.11.2023 06:22:20;NaN;87,04;50,16;93,71;51,63
02.11.2023 06:37:20;NaN;95,66;51,84;105,35;25,25
02.11.2023 06:52:20;NaN;99,71;56,90;112,12;34,63
02.11.2023 07:07:20;NaN;84,25;51,04;97,79;31,70
02.11.2023 07:22:20;NaN;97,36;57,28;111,48;20,84
02.11.2023 07:37:20;NaN;85,33;51,53;96,86;29,67
02.11.2023 07:52:20;NaN;92,19;56,51;111,65;49,13
02.11.2023 08:07:20;NaN;76,31;59,46;114,10;34,33
02.11.2023 08:22:20;NaN;92,59;59,05;117,04;45,13
02.11.2023 08:37:20;NaN;69,74;55,45;105,22;35,29
02.11.2023 08:52:20;NaN;85,40;62,18;118,32;20,14
02.11.2023 09:07:20;NaN;69,55;45,21;78,46;28,27
02.11.2023 09:22:20;NaN;13,04;35,53;55,58;20,22
02.11.2023 09:37:20;NaN;43,76;46,20;78,86;24,85
02.11.2023 09:52:20;NaN;86,96;54,53;99,88;32,76
02.11.2023 10:07:20;NaN;73,18;53,17;97,09;32,20
02.11.2023 10:22:20;NaN;82,85;50,81;91,58;20,03
02.11.2023 10:37:20;NaN;75,54;50,72;92,03;20,43
02.11.2023 10:52:20;NaN;66,88;45,71;76,96;35,09
02.11.2023 11:07:20;NaN;88,22;56,33;105,06;26,81
02.11.2023 11:22:20;NaN;86,92;56,11;104,20;26,55
02.11.2023 11:37:20;NaN;92,49;54,34;96,16;24,83
02.11.2023 11:52:20;NaN;76,55;56,50;102,95;19,79
02.11.2023 12:07:20;NaN;55,89;49,97;88,69;23,29
02.11.2023 12:22:20;NaN;79,24;56,06;107,20;21,64
